Cell_ID	Cluster	Trajectory_ID	Pseudo_time	X_coord	Y_coord
Cell_315	2	1	NA	2.36162248618683	-0.665856477111485
Cell_316	1	1	NA	-7.21832807191922	-4.58663981771431
Cell_317	2	1	NA	3.41977821674846	1.8818183274612
Cell_318	1	1	NA	0.430559403689804	-4.3640406259234
Cell_319	3	1	NA	-1.30635518060978	9.23059073759067
Cell_320	1	1	NA	-2.4453708922704	-3.69194078648401
Cell_321	2	1	NA	4.01604468863653	3.32795976765722
Cell_322	2	1	NA	2.80099774065529	1.05976117361944
Cell_323	2	1	NA	3.22664505380777	-0.297900694399665
Cell_324	2	1	NA	1.82784911083982	-0.440888788787535
Cell_325	1	1	NA	-7.34339394899762	-4.08059564185373
Cell_326	1	1	NA	-2.9654916569941	-3.24357159749492
Cell_327	2	1	NA	1.88881507612165	-0.592318031725154
Cell_328	2	1	NA	1.54449698147189	-0.100703311915601
Cell_329	1	1	NA	3.8060042498139	-7.97726721343236
Cell_330	1	1	NA	-1.17169913414485	-3.42223666440988
Cell_331	1	1	NA	-3.58498959184636	-2.59490349615785
Cell_332	1	1	NA	-0.0677309387877365	-2.54970390659339
Cell_333	1	1	NA	-7.26708294517994	-4.5903474205728
Cell_334	2	1	NA	3.83475074998314	2.20224577116904
Cell_335	1	1	NA	-0.422288541703523	-1.66369898060336
Cell_336	1	1	NA	-9.07620785861968	-3.92304153122049
Cell_337	1	1	NA	0.309461916579245	-4.40284525589021
Cell_338	1	1	NA	-8.83000177663399	-3.65469188825403
Cell_339	3	1	NA	2.36432473816158	7.7273810274238
Cell_340	1	1	NA	0.982826753840118	-3.7334006840411
Cell_341	1	1	NA	-0.9543924864059	-1.07272852948025
Cell_342	1	1	NA	-2.43703279709898	-0.852717954685106
Cell_343	2	1	NA	3.36071559847885	4.31313962592219
Cell_344	2	1	NA	3.50556324856708	2.83897157406124
Cell_345	2	1	NA	2.71650169958729	-0.366042069084192
Cell_346	2	1	NA	2.76836287038347	1.41069045849537
Cell_347	3	1	NA	3.02820727224924	6.83278353723427
Cell_348	1	1	NA	-7.36757471186995	-3.67223154849719
Cell_349	1	1	NA	-0.652298542886153	-1.90173657341672
Cell_350	1	1	NA	-5.01517376521736	-4.17654593037731
Cell_351	1	1	NA	0.591466367956151	-2.78517929495034
Cell_352	3	1	NA	2.09779781793399	7.6093787254329
Cell_353	1	1	NA	3.77723498191235	-8.02971813789789
Cell_354	2	1	NA	3.52970484662257	4.74989203172237
Cell_355	3	1	NA	2.95482295160591	5.92786870311398
Cell_356	2	1	NA	3.14801352157432	1.70026495536224
Cell_357	2	1	NA	3.55332685115567	3.90712704741452
Cell_358	3	1	NA	2.56981745373806	7.27473741855505
Cell_359	3	1	NA	2.99831603521042	6.6293912267309
Cell_360	1	1	NA	-1.7041943257906	-2.57847984091608
Cell_361	1	1	NA	-3.11014265034038	-3.22907904528051
Cell_362	3	1	NA	0.721963680348891	8.68705508158003
Cell_363	1	1	NA	-1.33688650427015	0.28581711265685
Cell_364	3	1	NA	1.90801731664857	8.08382073803471
Cell_365	1	1	NA	-9.02770781152535	-3.91313992356545
Cell_366	1	1	NA	-0.368703023493748	-1.20471526506096
Cell_367	2	1	NA	2.30106088925966	-0.63279784053574
Cell_368	1	1	NA	-2.95508553123707	-3.12128198727136
Cell_369	2	1	NA	4.23801157938466	2.93941630094817
Cell_370	2	1	NA	1.68729857059843	-1.22527133045844
Cell_371	2	1	NA	3.64773143238236	1.57468240538816
Cell_372	3	1	NA	3.33616527733904	6.83822865317088
Cell_373	3	1	NA	-0.806882211909318	9.18067028677746
Cell_374	2	1	NA	3.09286443973585	3.15263248551447
Cell_375	1	1	NA	-1.08056125635071	-0.886394270540606
Cell_376	3	1	NA	1.74927089377891	8.33343431330841
Cell_377	1	1	NA	-2.21982772277736	-3.42251381690496
Cell_378	2	1	NA	3.18648483936876	4.66910074925669
Cell_379	1	1	NA	-0.541473282740461	-2.48366689157718
Cell_380	2	1	NA	4.01879137072432	3.67635937936494
Cell_381	1	1	NA	-0.312859407683285	-2.43802149253407
Cell_382	1	1	NA	-0.0994239806247745	-3.02380953149989
Cell_383	1	1	NA	-8.54759154134238	-4.25046616245231
Cell_384	3	1	NA	2.66257061827397	6.11568411437216
Cell_385	2	1	NA	3.07360005343588	0.786082317363502
Cell_386	1	1	NA	-0.338646436811036	-0.977903911495773
